9562,latitude,longitude,type,residential_population
1,48.7396760777,21.2589357875,dp,10
2,48.7405560555,21.2589357875,dp,10
3,48.7414360333,21.2589357875,dp,8
4,48.7423160111,21.2589357875,dp,1
5,48.7396760777,21.2601887625,dp,8
6,48.7405560555,21.2601887625,dp,12
7,48.7414360333,21.2601887625,dp,12
8,48.7423160111,21.2601887625,dp,1
9,48.7387961,21.2614417375,dp,9
10,48.7396760777,21.2614417375,dp,12
11,48.7405560555,21.2614417375,dp,15
12,48.7414360333,21.2614417375,dp,11
13,48.7423160111,21.2614417375,dp,1
14,48.7387961,21.2626947125,dp,9
15,48.7396760777,21.2626947125,dp,12
16,48.7405560555,21.2626947125,dp,16
17,48.7414360333,21.2626947125,dp,11
18,48.7423160111,21.2626947125,dp,1
19,48.7387961,21.2639476875,dp,12
20,48.7396760777,21.2639476875,dp,15
21,48.7405560555,21.2639476875,dp,16
22,48.7414360333,21.2639476875,dp,12
23,48.7423160111,21.2639476875,dp,1
24,48.7387961,21.2652006625,dp,13
25,48.7396760777,21.2652006625,dp,16
26,48.7405560555,21.2652006625,dp,16
27,48.7414360333,21.2652006625,dp,12
28,48.7423160111,21.2652006625,dp,1
29,48.7370361444,21.2664536375,dp,10
30,48.7379161222,21.2664536375,dp,9
31,48.7387961,21.2664536375,dp,13
32,48.7396760777,21.2664536375,dp,17
33,48.7405560555,21.2664536375,dp,17
34,48.7414360333,21.2664536375,dp,14
35,48.7423160111,21.2664536375,dp,1
36,48.7352761888,21.2677066125,dp,13
37,48.7361561666,21.2677066125,dp,16
38,48.7370361444,21.2677066125,dp,16
39,48.7379161222,21.2677066125,dp,16
40,48.7387961,21.2677066125,dp,18
41,48.7396760777,21.2677066125,dp,20
42,48.7405560555,21.2677066125,dp,19
43,48.7414360333,21.2677066125,dp,12
44,48.7423160111,21.2677066125,dp,9
45,48.7352761888,21.2689595875,dp,13
46,48.7361561666,21.2689595875,dp,19
47,48.7370361444,21.2689595875,dp,20
48,48.7379161222,21.2689595875,dp,20
49,48.7387961,21.2689595875,dp,20
50,48.7396760777,21.2689595875,dp,19
51,48.7405560555,21.2689595875,dp,13
52,48.7414360333,21.2689595875,dp,12
53,48.7352761888,21.2702125625,dp,11
54,48.7361561666,21.2702125625,dp,13
55,48.7370361444,21.2702125625,dp,20
56,48.7379161222,21.2702125625,dp,20
57,48.7387961,21.2702125625,dp,20
58,48.7396760777,21.2702125625,dp,18
59,48.7405560555,21.2702125625,dp,12
60,48.7361561666,21.2714655375,dp,13
61,48.7370361444,21.2714655375,dp,20
62,48.7379161222,21.2714655375,dp,19
63,48.7387961,21.2714655375,dp,15
64,48.7396760777,21.2714655375,dp,14
65,48.7405560555,21.2714655375,dp,12
66,48.7361561666,21.2727185125,dp,10
67,48.7370361444,21.2727185125,dp,16
68,48.7379161222,21.2727185125,dp,15
69,48.7387961,21.2727185125,dp,12
70,48.780125299,21.1884447702,dp,0
71,48.7935870343,21.1924882027,dp,0
72,48.7908946872,21.1951838243,dp,0
73,48.7864074421,21.1965316351,dp,0
74,48.7873048911,21.1965316351,dp,0
75,48.7576890735,21.1978794459,dp,1
76,48.7585865225,21.1978794459,dp,2
77,48.7594839715,21.1978794459,dp,3
78,48.7603814205,21.1978794459,dp,3
79,48.7612788696,21.1978794459,dp,4
80,48.7855099931,21.1978794459,dp,0
81,48.7864074421,21.1978794459,dp,0
82,48.7567916245,21.1992272567,dp,1
83,48.7576890735,21.1992272567,dp,1
84,48.7585865225,21.1992272567,dp,1
85,48.7594839715,21.1992272567,dp,1
86,48.7603814205,21.1992272567,dp,1
87,48.7612788696,21.1992272567,dp,1
88,48.7621763186,21.1992272567,dp,10
89,48.7855099931,21.1992272567,dp,0
90,48.7864074421,21.1992272567,dp,0
91,48.7873048911,21.1992272567,dp,0
92,48.7882023401,21.1992272567,dp,0
93,48.7585865225,21.2005750675,dp,1
94,48.7594839715,21.2005750675,dp,1
95,48.7603814205,21.2005750675,dp,1
96,48.7612788696,21.2005750675,dp,1
97,48.7621763186,21.2005750675,dp,1
98,48.7747406049,21.2005750675,dp,11
99,48.7756380539,21.2005750675,dp,11
100,48.7774329519,21.2005750675,dp,11
101,48.7783304009,21.2005750675,dp,11
102,48.780125299,21.2005750675,dp,19
103,48.7855099931,21.2005750675,dp,3
104,48.7864074421,21.2005750675,dp,1
105,48.7873048911,21.2005750675,dp,1
106,48.7882023401,21.2005750675,dp,1
107,48.7639712166,21.2019228783,dp,18
108,48.7720482578,21.2019228783,dp,35
109,48.7729457068,21.2019228783,dp,10
110,48.7738431558,21.2019228783,dp,7
111,48.7747406049,21.2019228783,dp,6
112,48.7756380539,21.2019228783,dp,8
113,48.7765355029,21.2019228783,dp,9
114,48.7774329519,21.2019228783,dp,8
115,48.7783304009,21.2019228783,dp,8
116,48.77922785,21.2019228783,dp,9
117,48.780125299,21.2019228783,dp,8
118,48.781022748,21.2019228783,dp,30
119,48.7855099931,21.2019228783,dp,1
120,48.7864074421,21.2019228783,dp,1
121,48.7873048911,21.2019228783,dp,1
122,48.7882023401,21.2019228783,dp,1
123,48.7890997892,21.2019228783,dp,1
124,48.7899972382,21.2019228783,dp,1
125,48.7711508088,21.2032706891,dp,27
126,48.7720482578,21.2032706891,dp,6
127,48.7729457068,21.2032706891,dp,6
128,48.7738431558,21.2032706891,dp,6
129,48.7747406049,21.2032706891,dp,6
130,48.7756380539,21.2032706891,dp,8
131,48.7765355029,21.2032706891,dp,8
132,48.7774329519,21.2032706891,dp,8
133,48.7783304009,21.2032706891,dp,8
134,48.77922785,21.2032706891,dp,8
135,48.780125299,21.2032706891,dp,8
136,48.781022748,21.2032706891,dp,8
137,48.781920197,21.2032706891,dp,16
138,48.783715095,21.2032706891,dp,10
139,48.7855099931,21.2032706891,dp,1
140,48.7864074421,21.2032706891,dp,1
141,48.7873048911,21.2032706891,dp,1
142,48.7882023401,21.2032706891,dp,1
143,48.7890997892,21.2032706891,dp,1
144,48.7899972382,21.2032706891,dp,1
145,48.7693559107,21.2046185,dp,49
146,48.7702533598,21.2046185,dp,7
147,48.7711508088,21.2046185,dp,6
148,48.7720482578,21.2046185,dp,6
149,48.7729457068,21.2046185,dp,6
150,48.7738431558,21.2046185,dp,6
151,48.7747406049,21.2046185,dp,6
152,48.7756380539,21.2046185,dp,8
153,48.7765355029,21.2046185,dp,8
154,48.7774329519,21.2046185,dp,8
155,48.7783304009,21.2046185,dp,8
156,48.77922785,21.2046185,dp,8
157,48.780125299,21.2046185,dp,8
158,48.781022748,21.2046185,dp,10
159,48.781920197,21.2046185,dp,10
160,48.782817646,21.2046185,dp,9
161,48.783715095,21.2046185,dp,1
162,48.7855099931,21.2046185,dp,1
163,48.7864074421,21.2046185,dp,1
164,48.7873048911,21.2046185,dp,1
165,48.7882023401,21.2046185,dp,1
166,48.7890997892,21.2046185,dp,1
167,48.7693559107,21.2059663108,dp,39
168,48.7702533598,21.2059663108,dp,7
169,48.7711508088,21.2059663108,dp,6
170,48.7720482578,21.2059663108,dp,6
171,48.7729457068,21.2059663108,dp,6
172,48.7738431558,21.2059663108,dp,6
173,48.7747406049,21.2059663108,dp,6
174,48.7756380539,21.2059663108,dp,8
175,48.7765355029,21.2059663108,dp,8
176,48.7774329519,21.2059663108,dp,8
177,48.7783304009,21.2059663108,dp,8
178,48.77922785,21.2059663108,dp,8
179,48.780125299,21.2059663108,dp,20
180,48.782817646,21.2059663108,dp,15
181,48.783715095,21.2059663108,dp,1
182,48.7873048911,21.2059663108,dp,1
183,48.7882023401,21.2059663108,dp,1
184,48.7890997892,21.2059663108,dp,1
185,48.7917921362,21.2059663108,dp,1
186,48.7585865225,21.2073141216,dp,1
187,48.7594839715,21.2073141216,dp,2
188,48.7711508088,21.2073141216,dp,10
189,48.7720482578,21.2073141216,dp,7
190,48.7729457068,21.2073141216,dp,6
191,48.7738431558,21.2073141216,dp,6
192,48.7747406049,21.2073141216,dp,6
193,48.7756380539,21.2073141216,dp,8
